player,age,pos,team,years_left,salary_m,proj_vorp,surplus
Isaac Okoro,25,SG,CHI,1,11.8,-0.53,-6.4
Immanuel Quickley,26,PG,TOR,3,32.5,2.48,-6.7
Mikal Bridges,29,SF,NYK,4,33.5,2.62,-6.7
Zaccharie Risacher,20,SF,ATL,2,13.8,-0.3,-6.8
Tre Johnson,19,SG,WAS,3,8.6,-1.1,-7.1
Cameron Johnson,29,SF,DEN,1,23.1,1,-7.3
Luguentz Dort,26,SF,OKC,1,18.2,0.28,-7.3
Nikola Jović,22,PF,MIA,4,16.2,-0.06,-7.6
Cody Williams,21,SG,UTA,2,6,-1.58,-7.7
Andrew Nembhard,26,PG,IND,2,19.6,0.37,-8
Kawhi Leonard,34,SF,LAC,1,50.3,4.89,-8.2
Jabari Smith Jr.,22,PF,HOU,5,23.6,0.89,-8.6
Ace Bailey,19,SF,UTA,3,9.5,-1.21,-8.7
Julius Randle,31,PF,MIN,2,33.3,2.29,-8.8
Terance Mann,29,SG,BRK,2,15.5,-0.35,-8.9
Herbert Jones,27,SF,NOP,4,14.9,-0.47,-9
P.J. Washington,27,PF,DAL,4,19.8,0.26,-9
Malik Monk,27,SG,SAC,2,20.2,0.3,-9.1
Christian Braun,24,SG,DEN,5,21.6,0.49,-9.2
Shaedon Sharpe,22,SG,POR,4,20.1,0.24,-9.5
LaMelo Ball,24,PG,CHO,3,40.8,3.28,-9.5
Peyton Watson,23,SF,DEN,4,20.5,0.26,-9.7
Andrew Wiggins,30,SF,MIA,3,30.2,1.64,-10
Jaden McDaniels,25,PF,MIN,3,26.2,1.05,-10.1
Devin Vassell,25,SG,SAS,3,27,1.1,-10.5
Dillon Brooks,30,SF,PHO,4,20,-0.01,-11
Kentavious Caldwell-Pope,32,SG,MEM,1,20.2,-0.01,-11.3
Gary Trent Jr.,27,SG,MIL,4,15.2,-0.77,-11.4
Chet Holmgren,23,PF,OKC,5,41.5,3.03,-11.9
Coby White,25,SG,2TM,3,22.8,0.27,-12
Jalen Suggs,24,PG,ORL,4,32.4,1.65,-12.2
Klay Thompson,35,SF,DAL,2,23.1,0.27,-12.2
Desmond Bane,27,SG,ORL,3,39.4,2.65,-12.5
Cade Cunningham,24,PG,DET,4,50.1,4.22,-12.5
Myles Turner,29,C,MIL,3,26.6,0.71,-12.8
RJ Barrett,25,SF,TOR,1,29.6,1.01,-13.7
Donovan Mitchell,29,SG,CLE,5,50.1,4.02,-13.8
Rudy Gobert,33,C,MIN,2,36.5,1.95,-14.2
Kyle Kuzma,30,PF,MIL,1,20.3,-0.45,-14.4
Patrick Williams,24,PF,CHI,3,18,-0.86,-14.8
Draymond Green,35,PF,GSW,1,27.7,0.52,-15.1
Keegan Murray,25,PF,SAC,5,24.1,-0.06,-15.5
Zion Williamson,25,PF,NOP,2,42.2,2.55,-15.9
Tyler Herro,26,SG,MIA,1,33,1.18,-15.9
Anthony Edwards,24,SG,MIN,3,48.9,3.5,-16.2
Jrue Holiday,35,PG,POR,2,34.8,1.41,-16.2
Paolo Banchero,23,PF,ORL,5,41.5,2.39,-16.2
Jamal Murray,28,PG,DEN,3,50.1,3.59,-16.7
De'Andre Hunter,28,SF,2TM,1,24.9,-0.14,-16.9
Aaron Gordon,30,PF,DEN,3,33.7,0.9,-18.5
Austin Reaves,27,SG,LAL,4,41.2,2.02,-18.5
OG Anunoby,28,PF,NYK,3,42.5,2.05,-19.6
Brandon Ingram,28,SF,TOR,2,40,1.62,-20
Michael Porter Jr.,27,SF,BRK,1,40.8,1.7,-20.3
Jerami Grant,31,PF,POR,2,34.2,0.7,-20.4
Evan Mobley,24,PF,CLE,4,50.1,2.85,-21.7
Franz Wagner,24,SF,ORL,4,41.8,1.23,-24.4
Bam Adebayo,28,C,MIA,3,49.8,2.4,-24.5
Jalen Williams,24,SG,OKC,5,41.5,1.18,-24.5
Jalen Green,23,SG,PHO,2,36.3,0.36,-24.8
Jordan Poole,26,PG,NOP,1,34,0.03,-24.8
Darius Garland,26,PG,2TM,2,42.2,1.02,-26.2
De'Aaron Fox,28,PG,SAS,4,49.8,2.12,-26.4
Karl-Anthony Towns,30,C,NYK,2,57.1,3.17,-26.5
Lauri Markkanen,28,PF,UTA,3,46.1,1.42,-27.5
Giannis Antetokounmpo,31,PF,MIL,2,58.5,3.04,-28.8
Jaylen Brown,29,SF,BOS,3,57.1,2.82,-28.9
Pascal Siakam,31,PF,IND,2,48.9,1.56,-29.3
Ja Morant,26,PG,MEM,2,42.2,0.34,-30.9
Domantas Sabonis,29,C,SAC,2,45.5,0.76,-31.3
Jimmy Butler,36,SF,GSW,1,56.8,2.19,-32.9
Jaren Jackson Jr.,26,C,2TM,4,49,0.88,-34
Devin Booker,29,SG,PHO,4,57.1,1.99,-34.5
Joel Embiid,31,C,PHI,3,58.1,2.05,-35.2
Stephen Curry,37,PG,GSW,1,62.6,2.61,-35.9
Zach LaVine,30,SG,SAC,1,49,0.44,-37
Paul George,35,PF,PHI,2,54.1,0.9,-39
Jayson Tatum,27,PF,BOS,4,58.5,0.94,-43.1
Anthony Davis,32,PF,DAL,2,58.5,0.93,-43.1
