rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
177,Javonte Green,32,DET,SG,82,1446,2.1,1.5,javonte green,3943679,3.943679,Under $5M
178,Ivica Zubac,28,2TM,C,48,1446,-0.3,0.6,ivica zubac,20342140,20.34214,$15-30M
179,Tre Johnson,19,WAS,SG,60,1443,-5,-1.1,tre johnson,8649600,8.6496,$5-15M
180,Lauri Markkanen,28,UTA,PF,42,1443,2.6,1.6,lauri markkanen,46113154,46.113154,Over $30M
181,Khris Middleton,34,2TM,SF,63,1439,-4.4,-0.9,khris middleton,5591122,5.591122,$5-15M
182,Sidy Cissoko,21,POR,SF,75,1435,-4,-0.7,sidy cissoko,2497812,2.497812,Under $5M
183,Luke Kornet,30,SAS,C,68,1430,3.6,2,luke kornet,10450000,10.45,$5-15M
184,Baylor Scheierman,25,BOS,SG,77,1429,0.6,0.9,baylor scheierman,2744040,2.74404,Under $5M
185,Spencer Jones,24,DEN,SF,64,1417,-2.4,-0.1,spencer jones,6000000,6,$5-15M
186,Mark Williams,24,PHO,C,60,1416,2,1.4,mark williams,11728395,11.728395,$5-15M
187,Aaron Wiggins,27,OKC,SG,65,1414,-0.9,0.4,aaron wiggins,9224300,9.2243,$5-15M
188,Walter Clayton,22,2TM,PG,69,1410,-4.3,-0.8,walter clayton,4190520,4.19052,Under $5M
189,Christian Braun,24,DEN,SG,44,1399,-1.2,0.3,christian braun,21551726,21.551726,$15-30M
190,Gui Santos,23,GSW,PF,68,1395,-0.6,0.5,gui santos,4629630,4.62963,Under $5M
191,Vít Krejčí,25,2TM,PG,65,1392,-1.6,0.1,vit krejci,2667944,2.667944,Under $5M
192,Kyshawn George,22,WAS,SF,48,1391,-1.2,0.3,kyshawn george,3108000,3.108,Under $5M
193,Ben Sheppard,24,IND,SG,65,1390,-3,-0.4,ben sheppard,5031669,5.031669,$5-15M
194,Justin Champagnie,24,WAS,SF,69,1377,-0.4,0.6,justin champagnie,2667944,2.667944,Under $5M
195,Will Richard,23,GSW,SG,69,1377,-1.7,0.1,will richard,2150917,2.150917,Under $5M
196,Gary Trent Jr.,27,MIL,SG,65,1377,-5.4,-1.2,gary trent,15200000,15.2,$15-30M
197,Sam Merrill,29,CLE,SG,52,1377,0.1,0.7,sam merrill,9160715,9.160715,$5-15M
